family_id,title,historical_role,core_adoption,reason_code,reason,scope_decision,historical_locator,claim_ids
CHAIN-R1-WF-0139,TRAD: Enhancing LLM Agents with Step-Wise Thought Retrieval and Aligned Decision,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=trajectory_reuse,
CHAIN-R1-WF-0189,"A Comprehensive Survey of Agents for Computer Use: Foundations, Challenges, and Future Directions",secondary_context,not_selected,S,Retained as a contextual candidate; not selected for the core survey-comparison claims.,not_reassessed_as_an_exclusion,PDF p.22; body context; pattern=memory_types,
CHAIN-R1-WF-0197,Web Agents and Benchmarks - A Survey Focusing on Algorithmic Strategies and Performance Ratings,secondary_context,not_selected,S,Retained as a contextual candidate; not selected for the core survey-comparison claims.,not_reassessed_as_an_exclusion,PDF p.13; body context; pattern=memory_architecture,
CHAIN-R1-WF-0226,GUI Agents: A Survey,secondary_context,not_selected,S,Retained as a contextual candidate; not selected for the core survey-comparison claims.,not_reassessed_as_an_exclusion,PDF p.6; body context; pattern=recovery,
CHAIN-R1-WF-0248,LLM-Empowered Scriptless Functional Testing,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.4; body context; pattern=memory_architecture,
CHAIN-R1-WF-0269,BacktrackAgent: Enhancing GUI Agent with Error Detection and Backtracking Mechanism,primary_study,adopted,A,Selected for page-anchored claims PC-047.,see_claim_scope,PDF p.1; body context; pattern=recovery,PC-047
CHAIN-R1-WF-0271,AgentCPM-GUI: Building Mobile-Use Agents with Reinforcement Fine-Tuning,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.19; body context; pattern=history_management,
CHAIN-R1-WF-0318,"A process-centric review of large language models in graphical user interface testing: architectures, lifecycle impact, and challenges",secondary_context,not_selected,S,Retained as a contextual candidate; not selected for the core survey-comparison claims.,not_reassessed_as_an_exclusion,PDF p.29; body context; pattern=memory_architecture,
CHAIN-R1-WF-0346,WebTestPilot: Agentic End-to-End Web Testing against Natural Language Specification by Inferring Oracles with Symbolized GUI Elements,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.3; body context; pattern=memory_benchmark,
WF-0012,GuardAgent: Safeguard LLM Agents by a Guard Agent via Knowledge-Enabled Reasoning,primary_study,adopted,A,"Selected for page-anchored claims PC-048, PC-049.",see_claim_scope,PDF p.6; body context; pattern=memory_architecture,PC-048;PC-049
WF-0021,PC-Agent: A Hierarchical Multi-Agent Collaboration Framework for Complex Task Automation on PC,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.4; body context; pattern=history_management,
WF-0022,AppAgentX: Evolving GUI Agents as Proficient Smartphone Users,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=memory_architecture,
WF-0025,COLA: A Scalable Multi-Agent Framework For Windows UI Task Automation,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=recovery,
WF-0029,A Survey on (M)LLM-Based GUI Agents,secondary_context,adopted,A,Selected for page-anchored claims PC-063.,see_claim_scope,PDF p.13; body context; pattern=memory_architecture,PC-063
WF-0039,Reflection-Based Memory For Web navigation Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=memory_benchmark,
WF-0040,VerificAgent: Domain-Specific Memory Verification for Scalable Oversight of Aligned Computer-Use Agents,primary_study,adopted,A,"Selected for page-anchored claims PC-005, PC-006.",see_claim_scope,PDF p.9; body context; pattern=memory_benchmark,PC-005;PC-006
WF-0042,Mirage-1: Augmenting and Updating GUI Agent with Hierarchical Multimodal Skills,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.8; body context; pattern=memory_architecture,
WF-0045,Context manipulation attacks : Web agents are susceptible to corrupted memory,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.3; body context; pattern=memory_architecture,
WF-0046,Chain-of-Memory: Enhancing GUI Agents for Cross-Application Navigation,primary_study,adopted,A,"Selected for page-anchored claims PC-001, PC-002.",see_claim_scope,PDF p.4; body context; pattern=memory_types,PC-001;PC-002
WF-0047,LineRetriever: Planning-Aware Observation Reduction for Web Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.3; body context; pattern=context_management,
WF-0048,WebArXiv: Evaluating Multimodal Agents on Time-Invariant arXiv Tasks,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=history_management,
