source_id,claim_id,scope,organization,confirmed_overlap,our_distinction,unreviewed_fields,search_method
SUR-2404.13501,PC-059,通用 LLM 智能体记忆,定义/动机/来源/形式/操作/评测,写入—管理—读取与直接/间接评测已有组织,本文引入 GUI 状态对象层并逐格关联原文证据,未评判；不输出零覆盖,本文未引用该综述的检索完备性或覆盖数量
SUR-2603.07670,PC-060,通用 LLM 智能体记忆,回路形式化/分类/机制/评测/工程,写—管—读与治理目标已有,本文细分 GUI 保持对象和测量条件,未评判；不输出零覆盖,本文未引用该综述的检索完备性或覆盖数量
ADD-MemoryAge,PC-061,通用记忆，含 GUI 案例,形式/功能/动态,已有 GUI Agent S、状态载体与动态生命周期,本文不以首次讨论 GUI 或生命周期为贡献,未评判；不输出零覆盖,本文未引用该综述的检索完备性或覆盖数量
SUR-2508.04482,PC-062,OS/浏览器/移动智能体,模型/框架/评测,独立 Memory 专节，来源、管理、增长和检索,本文将记忆作为全文分析单位,未评判；不输出零覆盖,本文未引用该综述的检索完备性或覆盖数量
SUR-2504.13865,PC-063,GUI 智能体,感知/规划/交互等组件,已有验证器、反馈和轨迹记忆讨论,本文区分验证对象、修复对象与存留语义,未评判；不输出零覆盖,本文未引用该综述的检索完备性或覆盖数量
SUR-2411.18279,PC-064,GUI 智能体,演进/构建/框架/数据/模型/评测/应用,主轴为整个 GUI 智能体系统,只对已核对的结构作比较；其他覆盖项不填无,未评判；不输出零覆盖,本文未引用该综述的检索完备性或覆盖数量
SUR-2412.13501,PC-065,GUI 智能体,基准/模型与训练/问题,已有静态数据与交互环境的明确区分,本文把此区分用于记忆构念和成本分析,未评判；不输出零覆盖,本文未引用该综述的检索完备性或覆盖数量
SUR-2609.02309,PC-066,GUI 系统效率,观测/记忆/动作/运行时,记忆专节含选择性回看和表示压缩,本文覆盖记忆操作与状态对象及非效率终点,未评判；不输出零覆盖,本文未引用该综述的检索完备性或覆盖数量
SUR-2604.16548,PC-067,长时记忆安全,生命周期×安全目标,已含 eTAMP、VerificAgent 与可验证治理,本文聚焦 GUI 权限和具体实验终点，不重提生命周期首创,未评判；不输出零覆盖,本文未引用该综述的检索完备性或覆盖数量
ADD-2608.29596,PC-068,跨领域技能系统,技能生命周期/架构/安全,含 GUI/OS 导航与执行修复,本文 L4 与之相交，同时分析 L1–L3 与 L5,未评判；不输出零覆盖,本文未引用该综述的检索完备性或覆盖数量
