cell,primary_example_families,auxiliary_example_families,mechanism_claims,interpretation
L1.W,WF-0235,,PC-013,positive_examples_only; missing evidence is not absence
L1.P,WF-0235,,PC-013,positive_examples_only; missing evidence is not absence
L1.R,WF-0078;WF-0235;WF-0333,,PC-003;PC-069;PC-015,positive_examples_only; missing evidence is not absence
L1.U,WF-0078;WF-0235;WF-0333,,PC-003;PC-013;PC-015,positive_examples_only; missing evidence is not absence
L1.V,,,,positive_examples_only; missing evidence is not absence
L1.F,,,,positive_examples_only; missing evidence is not absence
L2.W,ADD-AppAgent;ADD-AutoDroid;WF-0156;WF-0224,,PC-042;PC-037;PC-017;PC-018,positive_examples_only; missing evidence is not absence
L2.P,ADD-AppAgent;ADD-AutoDroid;WF-0156;WF-0224;WF-0373,,PC-042;PC-037;PC-017;PC-018;PC-033,positive_examples_only; missing evidence is not absence
L2.R,ADD-AutoDroid,,PC-037,positive_examples_only; missing evidence is not absence
L2.U,ADD-AppAgent;ADD-AutoDroid,,PC-042;PC-037,positive_examples_only; missing evidence is not absence
L2.V,WF-0156,,PC-017,positive_examples_only; missing evidence is not absence
L2.F,ADD-AppAgent;WF-0224,,PC-042;PC-018,positive_examples_only; missing evidence is not absence
L3.W,ADD-AppAgent;WF-0046;WF-0106;WF-0172;WF-0179;WF-0235,,PC-043;PC-001;PC-002;PC-011;PC-009;PC-051;PC-013;PC-069,positive_examples_only; missing evidence is not absence
L3.P,ADD-AppAgent;WF-0046;WF-0078;WF-0124;WF-0222;WF-0235;WF-0298;WF-0317;WF-0346;WF-0488,,PC-043;PC-041;PC-002;PC-004;PC-027;PC-012;PC-013;PC-016;PC-014;PC-045,positive_examples_only; missing evidence is not absence
L3.R,WF-0106;WF-0179;WF-0235;WF-0317;WF-0346;WF-0488,,PC-041;PC-011;PC-051;PC-069;PC-014;PC-046,positive_examples_only; missing evidence is not absence
L3.U,ADD-AppAgent;CHAIN-R1-WF-0269;WF-0027;WF-0106;WF-0179;WF-0222;WF-0235;WF-0298;WF-0317;WF-0337;WF-0346;WF-0488,,PC-040;PC-043;PC-041;PC-047;PC-028;PC-011;PC-051;PC-012;PC-013;PC-016;PC-014;PC-046,positive_examples_only; missing evidence is not absence
L3.V,CHAIN-R1-WF-0269;WF-0078;WF-0124;WF-0346,,PC-047;PC-004;PC-027;PC-045,positive_examples_only; missing evidence is not absence
L3.F,WF-0046;WF-0172;WF-0179;WF-0235;WF-0337;WF-0346,,PC-040;PC-001;PC-002;PC-009;PC-010;PC-051;PC-069;PC-045,positive_examples_only; missing evidence is not absence
L4.W,ADD-2609.04869;ADD-AWM;ADD-ReasoningBank;WF-0040;WF-0172;WF-0263;WF-0469,,PC-038;PC-034;PC-035;PC-005;PC-009;PC-021;PC-044,positive_examples_only; missing evidence is not absence
L4.P,ADD-AWM;ADD-ReasoningBank;WF-0134;WF-0224;WF-0242;WF-0373,,PC-034;PC-035;PC-007;PC-018;PC-019;PC-033,positive_examples_only; missing evidence is not absence
L4.R,ADD-ReasoningBank;WF-0134;WF-0172;WF-0242;WF-0243;WF-0263;WF-0346;WF-0469,,PC-035;PC-007;PC-010;PC-019;PC-020;PC-021;PC-046;PC-044,positive_examples_only; missing evidence is not absence
L4.U,ADD-2609.04869;ADD-AWM;WF-0040;WF-0134;WF-0172;WF-0242;WF-0243;WF-0346;WF-0469,,PC-038;PC-034;PC-005;PC-007;PC-010;PC-019;PC-020;PC-046;PC-044,positive_examples_only; missing evidence is not absence
L4.V,WF-0040;WF-0134;WF-0263,,PC-005;PC-008;PC-021,positive_examples_only; missing evidence is not absence
L4.F,ADD-2609.04869;ADD-ReasoningBank;WF-0040;WF-0134;WF-0172;WF-0242;WF-0243,,PC-038;PC-035;PC-005;PC-008;PC-009;PC-019;PC-020,positive_examples_only; missing evidence is not absence
L5.W,WF-0125;WF-0306;WF-0395,,PC-025;PC-022;PC-024,positive_examples_only; missing evidence is not absence
L5.P,WF-0125;WF-0306,,PC-025;PC-022,positive_examples_only; missing evidence is not absence
L5.R,WF-0125;WF-0306;WF-0395,WF-0249,PC-026;PC-029;PC-022;PC-024,positive_examples_only; missing evidence is not absence
L5.U,WF-0125;WF-0395,WF-0249,PC-026;PC-029;PC-024,positive_examples_only; missing evidence is not absence
L5.V,,WF-0249,PC-029,positive_examples_only; missing evidence is not absence
L5.F,WF-0125;WF-0395,WF-0249,PC-025;PC-029;PC-024,positive_examples_only; missing evidence is not absence
