source_id,claim_ids,interaction,unit_and_intervention,endpoint,state_and_budget,interpretation_limit
WF-0140,PC-053;PC-054,Android 模拟器在线执行,任务与镜像任务对；重复尝试,SR/IRR/MTPR/pass@k/FRR,环境快照重置；智能体状态可跨尝试保留,逐尝试数匹配基线方能区别采样与学习；原文 p.7 表述与表1部分数字不一致，本轮不采用这些数字
WF-0179,PC-052,预录 Android 轨迹；固定截图,任务状态锚点与因果依赖,AMS/TCR；每步 token/时间,固定轨迹；不当作在线环境重置协议,TCR 的语义锚点评分不是实时任务完成；不接受作者“主要瓶颈”作为本文因果结论
WF-0235,PC-070,视频衍生离线轨迹,测试轨迹与经验积累轨迹分开,动作匹配/VAM/TPS/MCS,预录截图；经验库构建集与测量集分开,VLM 一致性评分与真实业务结果分开；延迟口径见 p.7，含控制器/检索/提示/骨干
WF-0225,PC-055,GUI 历史上下文收集与问答,按序插入历史，查询，固定 reader,答案准确率/查询延迟,查询最终记忆；不是在线环境试次,p.6 reader 上下文有截断预算；准确率还依赖 reader，不能转写 GUI 成功率
WF-0241,PC-056,混合环境；仅 WebArena-Infinity 为 GUI,相同 reasoner 的基线与记忆比较,memory gain；任务成功与成本,各子轨回放/分叉协议不同；不得把代码轨说明复制到 Web,作者明确不是记忆独立能力的干净消融；MemRM 训练效果不外推 GUI
ADD-Synapse,PC-041,MiniWoB++ 在线；Mind2Web 离线,任务或动作；训练集示例记忆,在线任务 SR；离线 Ele.Acc/Step SR/任务匹配,p.6 各任务试次；Mind2Web 训练与测试分离,同一系统内部的两个评测也不可混合
ADD-2609.04869,PC-038;PC-039,计算机使用的持续技能迭代,纵向运行/迭代扫描,空库与完整库条件比较,扫描内冻结库；Full/Empty 独立暖启动轨迹,不描述为共享同一条暖启动轨迹；结果方向本轮未引数
WF-0306,PC-023,个性化浏览历史/任务协议,用户与偏好维度,个性化任务表现,原文限定单一稳定偏好,不能证明偏好改变或撤回已测；本轮只采用该局限
WF-0249,PC-030,静态单步曝光控制,曝光决策样本,Allow/Mask/Ask 相关评分,固定单步，不是长期闭环,下游任务成功与动作授权不在 E1/E2 目标
WF-0277,PC-057;PC-058;PC-072,WebArena/WorkArena 在线浏览器,按任务顺序在线复用；多次运行,成功率/全部 LLM token,辅助方法动作上限与 Vanilla-IB 不同；近似预算,包含相反效果；不宣称严格等预算或一般记忆无效
WF-0333,PC-015;PC-071,在线 MobileWorld/OSWorld 与离线诊断分开,同任务比较；固定活动历史图像数,任务成功；步数/时间,B=4 固定图像数；任务配对；重置细节未提取,固定视觉预算不是固定总计算；条件性第二次策略调用存在
