canonical_id,title,claim_ids,route
ADD-2608.29596,"Towards a Systems Foundation for Agentic Skills: Architecture, Lifecycle, and Security",PC-068,outside_155_candidate_inventory
ADD-2609.00048,GUI-CC: Benchmarking Contextual Consistency of GUI World Models as Agent Environments,PC-075,outside_155_candidate_inventory
ADD-2609.02057,Monitoring Web Agents Without Internal Signals: Observable Trajectories and Key-Step Supervision,PC-073,outside_155_candidate_inventory
ADD-2609.04869,From Interaction Traces to Persistent Skills: Online Evolution for Computer-Use Agents,PC-038;PC-039,outside_155_candidate_inventory
ADD-AWM,Agent Workflow Memory,PC-034,outside_155_candidate_inventory
ADD-AppAgent,AppAgent: Multimodal Agents as Smartphone Users,PC-042;PC-043,outside_155_candidate_inventory
ADD-AutoDroid,AutoDroid: LLM-powered Task Automation in Android,PC-037,outside_155_candidate_inventory
ADD-MemoryAge,Memory in the Age of AI Agents,PC-061,outside_155_candidate_inventory
ADD-ReasoningBank,ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory,PC-035;PC-036,outside_155_candidate_inventory
SUR-2404.13501,A Survey on the Memory Mechanism of Large Language Model based Agents,PC-059,outside_155_candidate_inventory
SUR-2412.13501,GUI Agents: A Survey,PC-065,outside_155_candidate_inventory
SUR-2508.04482,OS Agents: A Survey on MLLM-based Agents for General Computing Devices Use,PC-062,outside_155_candidate_inventory
SUR-2603.07670,"Memory for Autonomous LLM Agents:Mechanisms, Evaluation, and Emerging Frontiers",PC-060,outside_155_candidate_inventory
SUR-2604.16548,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle",PC-067,outside_155_candidate_inventory
SUR-2609.02309,"Efficient GUI Agents: A Systems Survey of Observation, Memory, Action, and Runtime Optimization",PC-066,outside_155_candidate_inventory
WF-0027,Agent S2: A Compositional Generalist-Specialist Framework for Computer Use Agents,PC-028,outside_155_candidate_inventory
WF-0124,OS-Symphony: A Holistic Framework for Robust and Generalist Computer-Using Agent,PC-027,outside_155_candidate_inventory
WF-0125,PersonalAlign: Hierarchical Implicit Intent Alignment for Personalized GUI Agent with Long-Term User-Centric Records,PC-025;PC-026,outside_155_candidate_inventory
WF-0337,LocalLSTC: A Long Short-Term Control Architecture for Locally Deployed GUI Agents,PC-040,outside_155_candidate_inventory
WF-0338,CURA: Certified Runtime Alarms for Computer-Use Agents,PC-074,outside_155_candidate_inventory
WF-0488,Synapse: Trajectory-as-Exemplar Prompting with Memory for Computer Control,PC-041,outside_155_candidate_inventory
