source_id,canonical_id,title,authors,year,doi,arxiv_id,sha256,metadata_status,role,scope_note,pdf_version,pdf_version_date,source_url,venue,bib_type,local_evidence_filename
CHAIN-R1-WF-0139,CHAIN-R1-WF-0139,TRAD: Enhancing LLM Agents with Step-Wise Thought Retrieval and Aligned Decision,,2024,,2403.06221,e887d1328e425dda5fc2fbd53136cb271ddabd058873548ba98d8e9b635df3d4,local_metadata_pending,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2403.06221v1,10 Mar 2024,,,misc,CHAIN-R1-REC-000139.pdf
CHAIN-R1-WF-0189,CHAIN-R1-WF-0189,"A Comprehensive Survey of Agents for Computer Use: Foundations, Challenges, and Future Directions",,2026,,,bc1bcbc67d8a757d9005a01d5ff31895db9e05287356300ae1b0684b85332d67,local_metadata_pending,secondary_context,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,local_pdf_sha256,not_applicable_or_unresolved,,,misc,CHAIN-R1-REC-000189.pdf
CHAIN-R1-WF-0197,CHAIN-R1-WF-0197,Web Agents and Benchmarks - A Survey Focusing on Algorithmic Strategies and Performance Ratings,,2025,,,238feab814c20b7f4d32ab37e8ef9acfc0d28c0b5506d7bba13f2f4d379b0cbb,local_metadata_pending,secondary_context,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,local_pdf_sha256,not_applicable_or_unresolved,,,misc,CHAIN-R1-REC-000197.pdf
CHAIN-R1-WF-0226,CHAIN-R1-WF-0226,GUI Agents: A Survey,,2025,,,34309f34177fae9a311299ffbc1ee9ef49633e1e20f9f6dc7131ca3eb0d1a682,local_metadata_pending,secondary_context,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,local_pdf_sha256,not_applicable_or_unresolved,,,misc,CHAIN-R1-REC-000226.pdf
CHAIN-R1-WF-0248,CHAIN-R1-WF-0248,LLM-Empowered Scriptless Functional Testing,,2025,,,3439d5aa14bdae0faa7ecee2afb794974e9509174ebf1096a6b7beb4229f8f5a,local_metadata_pending,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,local_pdf_sha256,not_applicable_or_unresolved,,,misc,CHAIN-R1-REC-000248.pdf
CHAIN-R1-WF-0269,CHAIN-R1-WF-0269,BacktrackAgent: Enhancing GUI Agent with Error Detection and Backtracking Mechanism,Qinzhuo Wu and Pengzhi Gao and Wei Liu and Jian Luan,2025,10.18653/v1/2025.emnlp-main.212,,1fef67939364b1f4f5448f55dd5dd05579509bf32e27efab59afd3438ecb5323,publisher_identity_checked,primary_mechanism,仅 claims.json 明确提取的主张准入；未提取的单元格保持未知,local_pdf_sha256,not_applicable_or_unresolved,https://aclanthology.org/2025.emnlp-main.212/,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,inproceedings,CHAIN-R1-REC-000269.pdf
CHAIN-R1-WF-0271,CHAIN-R1-WF-0271,AgentCPM-GUI: Building Mobile-Use Agents with Reinforcement Fine-Tuning,,2025,,,0d4b70789b3527d906ca267be5c70c8f303fb8c49a317e6e0443983772572eb2,local_metadata_pending,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,local_pdf_sha256,not_applicable_or_unresolved,,,misc,CHAIN-R1-REC-000271.pdf
CHAIN-R1-WF-0318,CHAIN-R1-WF-0318,"A process-centric review of large language models in graphical user interface testing: architectures, lifecycle impact, and challenges",,2026,,,c0a4bae47c69a0f9a65556a1ae5b4ada896ddea053e2741ba72be65da63ee9aa,local_metadata_pending,secondary_context,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,local_pdf_sha256,not_applicable_or_unresolved,,,misc,CHAIN-R1-REC-000318.pdf
CHAIN-R1-WF-0346,CHAIN-R1-WF-0346,WebTestPilot: Agentic End-to-End Web Testing against Natural Language Specification by Inferring Oracles with Symbolized GUI Elements,,2026,,2602.11724,611c4c69207cf955bdfdf0b200c6e08db9cd04b17d7d8dbf766dd9ed0e809a71,local_metadata_pending,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2602.11724v3,23 Apr 2026,,,misc,CHAIN-R1-REC-000346.pdf
WF-0012,WF-0012,GuardAgent: Safeguard LLM Agents by a Guard Agent via Knowledge-Enabled Reasoning,Zhen Xiang and Linzhi Zheng and Yanjie Li and Junyuan Hong and Qinbin Li and Han Xie and Jiawei Zhang and Zidi Xiong and Chulin Xie and Carl Yang and Dawn Song and Bo Li,2024,,2406.09187,845a62cfc19be17894280e71e1669fdd3de5715ac8f9f41ef0206db941eb7d38,arxiv_identity_checked,component_diagnostic,外部守卫的示例记忆与安全决策；GUI 子集仅 Mind2Web-SC,2406.09187v3,29 May 2025,https://arxiv.org/abs/2406.09187v3,,misc,REC-000012.pdf
WF-0021,WF-0021,PC-Agent: A Hierarchical Multi-Agent Collaboration Framework for Complex Task Automation on PC,Haowei Liu and Xi Zhang and Haiyang Xu and Yuyang Wanyan and Junyang Wang and Ming Yan and Ji Zhang and Chunfeng Yuan and Changsheng Xu and Weiming Hu and Fei Huang,2025,,2502.14282,58d1ddfb4298d0ea3df39cc57ac079914b262adb75ab38b8313455a1c127e4a6,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2502.14282v2,21 Feb 2025,https://arxiv.org/abs/2502.14282v2,,misc,REC-000021.pdf
WF-0022,WF-0022,AppAgentX: Evolving GUI Agents as Proficient Smartphone Users,Wenjia Jiang and Yangyang Zhuang and Chenxi Song and Xu Yang and Joey Tianyi Zhou and Chi Zhang,2025,,2503.02268,3e2becaaf94f0d711d6cb9aec49c0025a1f7862cf08bfaf68e1546b17903f9b6,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2503.02268v3,15 Apr 2025,https://arxiv.org/abs/2503.02268v3,,misc,REC-000022.pdf
WF-0025,WF-0025,COLA: A Scalable Multi-Agent Framework For Windows UI Task Automation,Di Zhao and Longhui Ma and Siwei Wang and Miao Wang and Zhao Lv,2025,,2503.09263,da7398262475c72616acfe898b535236c05dd46c6d10d5158e7c5fbe5c7c751e,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2503.09263v1,12 Mar 2025,https://arxiv.org/abs/2503.09263v1,,misc,REC-000025.pdf
WF-0029,WF-0029,A Survey on (M)LLM-Based GUI Agents,Fei Tang and Haolei Xu and Hang Zhang and Siqi Chen and Xingyu Wu and Yongliang Shen and Wenqi Zhang and Guiyang Hou and Zeqi Tan and Yuchen Yan and Kaitao Song and Jian Shao and Weiming Lu and Jun Xiao and Yueting Zhuang,2025,,2504.13865,44c8ef9152784d59ea6330c1bfb8d1d0697de4fbb07d23d8c642c5548d9e343d,arxiv_identity_checked,secondary_context,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2504.13865v2,4 Jun 2025,https://arxiv.org/abs/2504.13865v2,,misc,REC-000029.pdf
