source_id,canonical_id,cell,status,role,mechanism_claims,effect_claims
ADD-2608.25777,WF-0337,L1.W,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L1.P,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L1.R,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L1.U,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L1.V,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L1.F,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L2.W,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L2.P,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L2.R,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L2.U,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L2.V,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L2.F,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L3.W,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L3.P,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L3.R,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L3.U,present,primary_mechanism,PC-040,
ADD-2608.25777,WF-0337,L3.V,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L3.F,present,primary_mechanism,PC-040,
ADD-2608.25777,WF-0337,L4.W,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L4.P,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L4.R,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L4.U,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L4.V,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L4.F,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L5.W,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L5.P,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L5.R,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L5.U,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L5.V,unassessed,primary_mechanism,,
ADD-2608.25777,WF-0337,L5.F,unassessed,primary_mechanism,,
ADD-2608.27808,WF-0338,L1.W,unassessed,component_diagnostic,,
ADD-2608.27808,WF-0338,L1.P,unassessed,component_diagnostic,,
ADD-2608.27808,WF-0338,L1.R,unassessed,component_diagnostic,,
ADD-2608.27808,WF-0338,L1.U,unassessed,component_diagnostic,,
ADD-2608.27808,WF-0338,L1.V,unassessed,component_diagnostic,,
ADD-2608.27808,WF-0338,L1.F,unassessed,component_diagnostic,,
ADD-2608.27808,WF-0338,L2.W,unassessed,component_diagnostic,,
ADD-2608.27808,WF-0338,L2.P,unassessed,component_diagnostic,,
ADD-2608.27808,WF-0338,L2.R,unassessed,component_diagnostic,,
ADD-2608.27808,WF-0338,L2.U,unassessed,component_diagnostic,,
