query_id,arxiv_url,title,published,updated
Q1_CORE,http://arxiv.org/abs/2609.04869v1,From Interaction Traces to Persistent Skills: Online Evolution for Computer-Use Agents,2026-09-04T08:29:45Z,2026-09-04T08:29:45Z
Q1_CORE,http://arxiv.org/abs/2609.02309v1,"Efficient GUI Agents: A Systems Survey of Observation, Memory, Action, and Runtime Optimization",2026-09-02T08:54:58Z,2026-09-02T08:54:58Z
Q1_CORE,http://arxiv.org/abs/2608.29596v1,"Towards a Systems Foundation for Agentic Skills: Architecture, Lifecycle, and Security",2026-08-30T06:36:42Z,2026-08-30T06:36:42Z
Q2_PROXY,http://arxiv.org/abs/2609.04869v1,From Interaction Traces to Persistent Skills: Online Evolution for Computer-Use Agents,2026-09-04T08:29:45Z,2026-09-04T08:29:45Z
Q2_PROXY,http://arxiv.org/abs/2609.02057v1,Monitoring Web Agents Without Internal Signals: Observable Trajectories and Key-Step Supervision,2026-09-02T03:34:47Z,2026-09-02T03:34:47Z
Q2_PROXY,http://arxiv.org/abs/2609.00048v1,GUI-CC: Benchmarking Contextual Consistency of GUI World Models as Agent Environments,2026-08-30T05:19:43Z,2026-08-30T05:19:43Z
Q2_PROXY,http://arxiv.org/abs/2608.27808v1,CURA: Certified Runtime Alarms for Computer-Use Agents,2026-08-28T00:50:47Z,2026-08-28T00:50:47Z
Q2_PROXY,http://arxiv.org/abs/2608.25777v1,LocalLSTC: A Long Short-Term Control Architecture for Locally Deployed GUI Agents,2026-08-26T13:20:27Z,2026-08-26T13:20:27Z
Q2_PROXY,http://arxiv.org/abs/2608.24174v1,Task-Adaptive Rubrics for GUI Reward Modeling,2026-08-25T07:40:12Z,2026-08-25T07:40:12Z
Q3_EVAL,http://arxiv.org/abs/2609.04869v1,From Interaction Traces to Persistent Skills: Online Evolution for Computer-Use Agents,2026-09-04T08:29:45Z,2026-09-04T08:29:45Z
Q3_EVAL,http://arxiv.org/abs/2609.02309v1,"Efficient GUI Agents: A Systems Survey of Observation, Memory, Action, and Runtime Optimization",2026-09-02T08:54:58Z,2026-09-02T08:54:58Z
Q3_EVAL,http://arxiv.org/abs/2608.29596v1,"Towards a Systems Foundation for Agentic Skills: Architecture, Lifecycle, and Security",2026-08-30T06:36:42Z,2026-08-30T06:36:42Z
